tax.id	count	type
Alistipes	1	Bacteria
Anaerostipes hadrus	1	Bacteria
Bacteroidaceae	1	Bacteria
Bacteroides	8	Bacteria
Bacteroides caccae	1	Bacteria
Bacteroides thetaiotaomicron	1	Bacteria
Bacteroides uniformis	1	Bacteria
Blautia obeum	1	Bacteria
Blautia wexlerae	4	Bacteria
Coprococcus comes	1	Bacteria
Dorea formicigenerans	1	Bacteria
Dorea longicatena	2	Bacteria
Dysosmobacter sp.	1	Bacteria
Escherichia coli	1	Bacteria
Faecalibacterium prausnitzii	48	Bacteria
Lachnospiraceae	3	Bacteria
Neisseriaceae	1	Bacteria
Oscillospiraceae	1	Bacteria
Parabacteroides	3	Bacteria
Paraprevotella	1	Bacteria
Phocaeicola	4	Bacteria
Phocaeicola vulgatus	2	Bacteria
Pseudoclostridium thermosuccinogenes	2	Bacteria
Pusillimonas faecalis	1	Bacteria
Romboutsia	1	Bacteria
Romboutsia ilealis	1	Bacteria
Roseburia intestinalis	1	Bacteria
Ruminococcus bicirculans	2	Bacteria
Ruminococcus torques	1	Bacteria
Ruthenibacterium lactatiformans	1	Bacteria
Sellimonas	1	Bacteria
Wansuia hejianensis	1	Bacteria
Caudovirales	2	Virus
Caudoviricetes sp.	3	Virus
Myoviridae sp.	1	Virus
Siphoviridae sp.	2	Virus
Uncultured human fecal Virus clone	4	Virus
Not assigned	2	unknown